identifier,xepdf_levenshtein,xepdf_hamming,xepdf_levenshtein_ratio,xepdf_levenshtein_normalised,xepdf_hamming_normalised,xepdf_levenshtein_cleaned,xepdf_levenshtein_cleaned_normalised,xepdf_op_uppercase,xepdf_op_lowercase,xepdf_op_movement,xepdf_op_whitespace,xepdf_insert_minus_delete,xelua_levenshtein,xelua_hamming,xelua_levenshtein_ratio,xelua_levenshtein_normalised,xelua_hamming_normalised,xelua_levenshtein_cleaned,xelua_levenshtein_cleaned_normalised,xelua_op_uppercase,xelua_op_lowercase,xelua_op_movement,xelua_op_whitespace,xelua_insert_minus_delete
2306.01691_cmp1,52.0,897.0,0.9936974789915967,0.9879322348572754,0.7918310512880018,52.0,0.9879322348572754,0.0,0.0,0.0,0.0,50.0,50.0,895.0,0.9941643323996265,0.9883963796704572,0.7922951961011836,50.0,0.9883963796704572,0.0,0.0,0.0,0.0,50.0
2306.01691_cmp2,162.0,5104.0,0.9850332594235033,0.970242468772961,0.06245407788390889,66.0,0.9878765613519471,0.0,0.0,48.0,0.0,64.0,220.0,5161.0,0.9796893667861409,0.960007271405199,0.061806944191965085,122.0,0.9778222141428831,0.0,0.0,49.0,0.0,121.0
2306.01691_cmp3,117.0,4835.0,0.9882561926379158,0.9771618192465352,0.05621706031622098,115.0,0.9775522154987312,0.0,0.0,1.0,0.0,-113.0,846.0,4924.0,0.918308227114716,0.838333651824957,0.05904834702847317,132.0,0.9747754634053124,0.0,0.0,357.0,0.0,110.0
2306.01691_cmp-3,7.0,53.0,0.9989912091079406,0.9979844514828679,0.984739418370285,7.0,0.9979844514828679,0.0,0.0,0.0,0.0,7.0,1228.0,2912.0,0.7925767309064954,0.6530093246679853,0.17716869172082506,497.0,0.8595648488273524,1.0,2.0,364.0,0.0,73.0
2306.01691_cmp-2,8.0,6274.0,0.9993939393939394,0.9987886129618413,0.04996971532404604,8.0,0.9987886129618413,0.0,0.0,0.0,0.0,-8.0,1426.0,6893.0,0.8968908170643528,0.8026570716855799,0.04608358704677551,624.0,0.9136451702186549,0.0,0.0,401.0,0.0,622.0
2306.01691_cmp-1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1024.0,2555.0,0.7561904761904762,0.6079632465543645,0.021822358346094917,1024.0,0.6079632465543645,0.0,0.0,0.0,0.0,-1024.0
2306.00057_cmp1,,,,,,,,,,,,,,,,,,,,,,,,
2306.00057_cmp2,,,,,,,,,,,,,,,,,,,,,,,,
2306.00057_cmp3,,,,,,,,,,,,,,,,,,,,,,,,
2306.00057_cmp-3,,,,,,,,,,,,,,,,,,,,,,,,
2306.00057_cmp-2,,,,,,,,,,,,,,,,,,,,,,,,
2306.00057_cmp-1,,,,,,,,,,,,,,,,,,,,,,,,
2306.00004_cmp1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00004_cmp2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00004_cmp3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00004_cmp-3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00004_cmp-2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00004_cmp-1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00207_cmp1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,581.0,1713.0,0.8662565504670767,0.7493528904227782,0.2610008628127696,343.0,0.8520276100086281,0.0,0.0,119.0,0.0,247.0
2306.00207_cmp2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,858.0,2906.0,0.8577010745685445,0.723136495643756,0.062278154243304296,184.0,0.9406260083898031,0.0,0.0,337.0,0.0,-56.0
2306.00207_cmp3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,611.0,2898.0,0.8971931572828433,0.8034105534105535,0.06756756756756754,243.0,0.9218146718146718,0.0,0.0,184.0,0.0,-195.0
2306.00207_cmp-3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,617.0,0.9901057659501876,0.9870660313138189,0.5799863852961198,19.0,0.9870660313138189,0.0,0.0,0.0,0.0,-7.0
2306.00207_cmp-2,1.0,1983.0,0.9998775260257196,0.9997550820475141,0.5143277002204262,1.0,0.9997550820475141,0.0,0.0,0.0,0.0,-1.0,12.0,3747.0,0.9977941176470588,0.997060984570169,0.08229243203526815,12.0,0.997060984570169,0.0,0.0,0.0,0.0,-6.0
2306.00207_cmp-1,2.0,2.0,0.9991532599491956,0.9991532599491956,0.9991532599491956,2.0,0.9991532599491956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00002_cmp1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00002_cmp2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00002_cmp3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00002_cmp-3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00002_cmp-2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00002_cmp-1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00417_cmp1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00417_cmp2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00417_cmp3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00417_cmp-3,1283.0,1383.0,0.14174252275682708,0.07830459770114939,0.006465517241379337,1283.0,0.07830459770114939,0.0,0.0,0.0,0.0,1246.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00417_cmp-2,3944.0,3995.0,0.02757941393745378,0.014000000000000012,0.0012499999999999734,3944.0,0.014000000000000012,0.0,0.0,0.0,0.0,-3939.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00417_cmp-1,3715.0,4023.0,0.1489117983963345,0.0804455445544554,0.004207920792079212,3715.0,0.0804455445544554,0.0,0.0,0.0,0.0,3715.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00036_cmp1,864.0,2211.0,0.8710475666758317,0.7667386609071274,0.4030777537796977,276.0,0.9254859611231101,0.0,0.0,294.0,0.0,134.0,1037.0,2407.0,0.837496411139822,0.7095238095238094,0.32577030812324925,391.0,0.8904761904761904,0.0,0.0,323.0,0.0,-174.0
2306.00036_cmp2,1222.0,4757.0,0.8534715473490984,0.7554043234587671,0.04783827061649315,942.0,0.811449159327462,0.0,0.0,140.0,0.0,731.0,1407.0,4401.0,0.819433560953767,0.698586118251928,0.05719794344473006,926.0,0.8016281062553556,0.0,1.0,240.0,0.0,403.0
2306.00036_cmp3,2050.0,3599.0,0.7173526596472036,0.4591029023746702,0.05039577836411613,370.0,0.9023746701846966,0.0,0.0,840.0,0.0,267.0,1990.0,2563.0,0.7178182845838632,0.4400675295441756,0.27884074282498594,288.0,0.9189645469893079,0.0,0.0,851.0,0.0,31.0
2306.00036_cmp-3,956.0,2054.0,0.7122227952552862,0.5551419264774313,0.044206607724523006,916.0,0.57375523499302,4.0,1.0,17.0,0.0,420.0,507.0,1000.0,0.8631465517241379,0.7443267776096822,0.49571356530509325,265.0,0.8663640948058497,0.0,0.0,121.0,0.0,254.0
2306.00036_cmp-2,1637.0,2525.0,0.6784751636503659,0.3799242424242424,0.04356060606060608,351.0,0.8670454545454546,0.0,0.0,643.0,0.0,86.0,726.0,2236.0,0.8491421810293828,0.7157400156617071,0.12451057165231005,196.0,0.9232576350822239,0.0,0.0,265.0,0.0,-37.0
2306.00036_cmp-1,928.0,1818.0,0.6702089975203684,0.5048025613660618,0.029882604055496254,928.0,0.5048025613660618,0.0,0.0,0.0,0.0,-925.0,481.0,1770.0,0.8514669926650367,0.7433297758804696,0.05549626467449309,481.0,0.7433297758804696,0.0,0.0,0.0,0.0,-476.0
2306.00001_cmp1,386.0,2997.0,0.9600964921097598,0.9240605941373204,0.4103875663977966,221.0,0.9565217391304348,8.0,0.0,77.0,0.0,217.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00001_cmp2,739.0,4879.0,0.9252,0.8562816024893037,0.051147413457798496,296.0,0.9424348502528199,6.0,0.0,217.0,0.0,284.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00001_cmp3,1405.0,3557.0,0.8031671065425754,0.62918975983109,0.061229875956716806,445.0,0.8825547637899183,0.0,0.0,480.0,0.0,379.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00001_cmp4,2070.0,3700.0,0.6959450706050007,0.46580645161290324,0.04516129032258065,209.0,0.9460645161290323,24.0,0.0,792.0,0.0,31.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00001_cmp5,922.0,5908.0,0.918000884564352,0.8490751350466524,0.03290227533147816,918.0,0.8497299066950401,0.0,0.0,2.0,0.0,-913.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.01308_cmp1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.01308_cmp2,101.0,3085.0,0.9875347936584775,0.975825753949258,0.26160842508377213,101.0,0.975825753949258,0.0,0.0,0.0,0.0,-93.0,101.0,3085.0,0.9875347936584775,0.975825753949258,0.26160842508377213,101.0,0.975825753949258,0.0,0.0,0.0,0.0,-93.0
2306.01308_cmp3,11.0,11.0,0.9960116026105874,0.9960116026105874,0.9960116026105874,11.0,0.9960116026105874,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.9960116026105874,0.9960116026105874,0.9960116026105874,11.0,0.9960116026105874,0.0,0.0,0.0,0.0,0.0
2306.01308_cmp-3,183.0,2849.0,0.9716147045137273,0.9432558139534883,0.11658914728682168,41.0,0.9872868217054264,0.0,0.0,71.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.01308_cmp-2,133.0,4094.0,0.984168551362933,0.9685207100591716,0.031005917159763308,75.0,0.9822485207100592,0.0,0.0,29.0,0.0,-49.0,44.0,1843.0,0.99476688867745,0.989585798816568,0.5637869822485206,44.0,0.989585798816568,0.0,0.0,0.0,0.0,-42.0
2306.01308_cmp-1,89.0,541.0,0.9143407122232916,0.8421985815602837,0.04078014184397161,89.0,0.8421985815602837,0.0,0.0,0.0,0.0,89.0,43.0,495.0,0.9566968781470292,0.916988416988417,0.044401544401544424,43.0,0.916988416988417,0.0,0.0,0.0,0.0,43.0
2306.00022_cmp1,24.0,2176.0,0.9967320261437909,0.9934658317451674,0.407568744895181,2.0,0.999455485978764,0.0,0.0,11.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2306.00022_cmp2,56.0,70.0,0.994435612082671,0.9889328063241106,0.9861660079051383,56.0,0.9889328063241106,0.0,0.0,0.0,0.0,-56.0,20.0,20.0,0.9960474308300395,0.9960474308300395,0.9960474308300395,20.0,0.9960474308300395,0.0,0.0,0.0,0.0,0.0
2306.00022_cmp3,287.0,3005.0,0.9685030847494318,0.9389880952380952,0.3611819727891157,179.0,0.9619472789115646,0.0,0.0,54.0,0.0,-169.0,30.0,30.0,0.9936224489795918,0.9936224489795918,0.9936224489795918,30.0,0.9936224489795918,0.0,0.0,0.0,0.0,0.0
2306.00022_cmp-3,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,0.9918554339526597,0.9918554339526597,0.9918554339526597,32.0,0.9918554339526597,0.0,0.0,0.0,0.0,0.0
2306.00022_cmp-2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.9964396973742768,0.9964396973742768,0.9964396973742768,16.0,0.9964396973742768,0.0,0.0,0.0,0.0,0.0
2306.00022_cmp-1,233.0,2118.0,0.9628566873904033,0.9283738087918845,0.34890869966185056,233.0,0.9283738087918845,0.0,0.0,0.0,0.0,233.0,1030.0,1953.0,0.7918822124950259,0.6589403973509933,0.3533112582781457,1030.0,0.6589403973509933,0.0,0.0,0.0,0.0,-1014.0
