0,time,expl,nn
0,0,5.999975597,5.998879157
1,1,5.999964287,5.984783064
2,2,5.999950886,5.953651177
3,3,5.922045398,5.909263428
4,4,5.834007008,5.855110443
5,5,5.803059576,5.793564001
6,6,5.674908756,5.725975497
7,7,5.618805939,5.653865129
8,8,5.532898839,5.578819878
9,9,5.49339767,5.508533747
10,10,5.438593552,5.446007062
11,11,5.413486248,5.389955627
12,12,5.285357151,5.34044367
13,13,5.326998492,5.297058381
14,14,5.324090191,5.259200282
15,15,5.238176131,5.224767798
16,16,5.287945085,5.191546398
17,17,5.236819412,5.159663408
18,18,5.201642495,5.137503827
19,19,5.104413974,5.124724401
20,20,5.089982283,5.113442396
21,21,5.064016435,5.091736614
22,22,4.948441513,5.008765616
23,23,4.69240986,4.804068602
24,24,4.556825268,4.703390354
25,25,4.52245676,4.663982949
26,26,4.509293367,4.649684864
27,27,4.600711492,4.653776082
28,28,4.735147805,4.679497051
29,29,4.89642023,4.748957565
30,30,5.07405018,4.925713102
